sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
2,1,6,14,14,1,1,1,2,1,2,3,4,1,1,1,3,3,3,2,3,4,4,4,2,2,2,2,2,2,3,3,3,3
2,1,6,4,14,3,2,3,4,2,2,2,1,4,4,4,3,3,3,4,4,2,2,2,2,2,2,4,4,,2,4,4,4
2,1,5,10,14,4,3,4,4,2,1,3,3,1,2,2,5,5,5,2,2,3,4,4,5,5,5,2,1,1,1,4,2,4
2,1,5,10,14,2,2,2,2,3,3,3,5,2,3,2,3,3,4,3,3,2,2,2,3,3,3,2,2,3,2,3,3,3
2,1,7,2,14,2,2,2,2,1,2,2,1,,,,,,,,,4,4,4,3,4,3,3,2,3,3,3,3,3
2,1,6,1,14,2,2,3,2,3,2,5,1,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,4,4,4
2,1,6,1,14,4,1,4,2,2,4,4,4,2,2,2,5,5,4,2,2,5,5,5,5,5,5,2,1,1,1,4,3,3
2,1,9,10,14,2,2,2,2,2,1,2,1,2,2,2,,,,5,5,3,3,3,2,2,2,3,3,3,3,5,5,5
2,1,8,6,14,1,1,1,1,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,2,2,2,4,2,2
2,1,6,1,14,,,,,2,2,2,2,1,1,1,5,5,5,3,3,2,2,2,4,4,4,3,4,3,3,4,4,4
1,1,7,2,14,3,2,3,3,1,2,1,3,2,2,2,3,3,3,2,2,5,5,3,2,2,2,3,2,2,4,3,2,3
2,2,4,0.5,14,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,4,3,2,2,2,3,3,3,3,3,3,3
2,1,3,0.25,14,2,1,2,2,2,2,2,3,2,2,2,4,4,4,2,2,2,1,2,2,3,3,3,2,2,3,3,3,3
2,2,5,0.5,14,1,1,2,1,1,2,2,3,1,1,1,2,3,3,2,2,5,5,5,1,1,1,2,2,2,2,3,2,3
2,1,9,1,14,2,2,2,2,2,2,2,1,1,2,1,3,3,4,2,1,4,4,5,2,2,2,2,2,3,2,4,4,4
2,1,4,1.5,14,3,3,3,3,1,3,3,2,2,2,2,3,3,3,2,1,4,4,4,3,3,3,3,3,3,3,3,3,3
2,1,6,1,16,2,2,2,2,2,4,3,5,2,2,2,3,3,3,2,3,3,4,3,3,4,3,4,2,3,3,4,3,3
1,1,9,2,14,3,2,3,4,2,2,2,3,3,3,2,5,5,5,2,3,4,4,4,3,3,3,2,2,2,3,3,3,3
2,3,2,0.5,14,2,2,3,2,1,2,2,3,1,1,1,3,3,3,1,1,5,5,5,2,2,2,4,3,3,3,2,2,2
2,1,,15,14,2,1,2,2,2,2,2,2,3,2,1,4,4,4,2,2,4,4,4,3,2,3,2,1,3,1,4,4,4
2,1,7,1,14,3,3,3,2,3,3,3,3,2,2,2,3,3,3,2,2,4,4,4,3,3,3,2,2,2,2,3,4,4
2,1,8,34,14,2,1,1,2,1,1,1,3,3,3,2,3,2,3,2,2,4,4,4,2,2,2,3,2,2,3,3,3,3
2,1,2,1.2,14,4,1,3,2,1,2,2,5,1,3,2,3,4,4,3,2,3,3,3,3,3,3,5,5,5,5,5,1,1
2,1,7,12,14,3,1,3,2,2,3,3,4,3,4,2,2,2,5,2,4,5,5,5,1,3,2,1,1,1,1,2,2,3
,1,8,14,14,3,2,3,2,3,3,3,4,,,,,,,,,4,4,4,2,2,2,5,5,5,5,5,2,5
2,1,7,19,14,3,1,3,1,1,2,2,5,3,3,2,5,5,5,2,3,5,5,5,3,3,3,3,3,3,3,4,3,3
2,1,5,4,14,3,3,3,3,1,2,2,2,1,1,1,3,3,4,2,2,5,5,5,2,2,2,1,1,1,1,3,3,3
2,1,4,1,14,4,2,4,4,2,2,2,3,3,2,2,3,3,3,3,2,4,4,4,2,2,2,5,2,3,4,3,2,3
2,1,2,1,14,1,1,1,1,2,1,1,3,1,2,2,3,3,3,2,2,5,5,5,1,1,1,1,1,1,1,4,2,4
2,1,6,15,14,2,2,2,2,2,2,2,2,1,1,2,5,4,4,2,2,2,2,2,3,4,3,,3,3,3,5,1,1
2,1,7,9,14,3,1,3,2,2,2,2,4,2,2,2,3,3,3,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4
2,1,6,2.75,14,3,2,3,3,1,1,1,4,1,1,1,2,2,2,1,1,4,4,4,2,2,2,2,2,2,2,3,3,3
1,1,4,4,14,5,1,4,3,2,2,3,4,1,2,2,5,5,5,2,3,2,2,2,2,2,2,2,1,1,2,3,3,3
2,1,7,0.5,14,3,2,3,2,3,3,3,3,4,4,2,3,3,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3
1,1,8,4,14,2,2,2,2,1,2,2,2,1,1,1,3,3,4,2,2,5,4,4,3,4,4,1,1,2,1,1,3,3
2,1,4,11,14,4,4,4,3,2,2,3,2,3,4,2,3,3,4,2,3,5,2,3,3,3,3,3,4,4,3,4,4,4
2,1,5,0.2,14,3,2,4,2,1,2,2,5,1,4,1,4,,,3,,1,1,1,1,1,1,4,3,3,3,3,3,3
2,1,8,11,14,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,4,4,4,2,3,3,2,2,2,2,3,3,3
1,1,5,6,14,5,2,5,4,1,1,1,1,5,5,1,1,1,5,4,1,5,5,5,4,4,4,1,1,1,1,2,4,5
2,1,7,3,14,2,2,2,2,1,2,2,4,2,3,2,3,4,4,2,4,4,4,3,3,4,4,1,1,1,1,5,4,4
2,1,3,2,14,2,1,2,2,1,1,3,1,2,2,2,2,2,3,2,2,4,4,4,2,4,4,1,1,2,1,4,4,4
2,1,9,2,14,2,1,1,1,1,2,2,2,2,1,2,3,3,3,2,2,5,5,5,2,2,2,3,3,3,3,4,3,3
2,1,7,4,14,,,,,1,2,2,3,2,2,2,3,3,3,2,2,4,3,3,,,2,3,2,2,2,4,3,3
2,1,6,8,14,2,1,2,1,2,1,1,2,1,2,2,3,3,3,2,2,4,4,4,3,3,3,3,2,3,2,3,3,3
2,1,6,1.5,14,2,3,2,3,1,2,3,4,4,4,4,3,3,3,4,4,3,2,3,4,4,4,3,3,3,4,2,4,4
2,1,7,3,14,3,2,3,3,3,2,2,4,3,4,4,3,3,3,2,2,,,,,,,2,2,2,2,3,3,3
2,1,3,1.5,14,1,1,1,1,1,2,1,2,1,1,1,2,3,2,2,2,4,4,4,2,2,2,3,3,3,3,3,3,3
2,1,5,1,14,5,5,5,5,4,4,5,3,2,2,4,3,3,3,3,4,4,4,4,3,3,3,2,2,2,2,3,3,3
2,1,5,4,14,2,3,2,,2,3,3,3,2,2,2,4,3,3,2,2,3,3,3,4,3,4,3,3,3,3,3,3,3
2,1,7,1,14,5,3,4,3,2,2,2,2,3,3,4,4,4,4,2,3,4,5,5,4,3,3,1,1,1,1,4,3,3
1,1,6,12,14,4,4,4,5,2,2,3,4,2,3,2,4,4,4,3,3,3,3,3,3,3,3,3,1,2,3,4,3,3
2,1,3,1.5,14,1,1,1,1,1,2,2,5,2,2,2,3,3,4,1,3,1,1,1,3,3,3,5,5,5,5,4,4,4
2,1,7,10,14,2,1,2,2,1,3,2,1,1,1,1,3,3,3,2,2,5,5,5,3,3,3,1,3,3,1,3,3,3
2,1,7,3,14,2,2,3,2,1,3,2,4,1,1,1,3,3,3,2,2,3,3,3,3,3,3,4,3,3,4,3,3,4
2,1,4,1,14,3,2,3,3,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,2,2,2,2,2,3,2,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,7,26,14,2,2,2,2,2,1,2,4,2,2,1,3,4,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3
2,1,8,10,14,2,1,2,1,2,2,2,1,2,2,2,2,3,3,1,2,4,4,4,3,2,2,2,2,2,2,2,2,2
2,1,9,10,,5,1,5,3,1,2,2,1,2,2,2,3,3,3,4,4,5,5,5,2,2,2,1,1,3,1,1,5,5
2,1,7,5,14,2,2,2,2,1,2,1,3,1,1,1,3,3,3,2,2,4,4,4,3,3,3,3,3,3,3,4,4,4
1,1,9,12,16,5,4,5,5,2,2,2,5,2,2,2,3,4,5,3,2,5,5,5,3,5,5,3,1,3,4,5,5,5
2,1,6,1.5,14,3,3,2,3,2,3,2,2,2,2,2,3,2,4,3,4,4,2,4,2,3,3,2,2,2,2,2,3,3
2,1,1,11,14,1,1,1,1,1,1,1,4,2,2,2,2,2,2,1,1,5,5,5,1,1,1,1,1,1,1,4,2,2
