DepartmentGroupNumber,GroupSize,PercentMale,BAME,NumberTeamLeads,NumberFeMaleTeamLeads,LondonorNot,Function
18,18,65,,3,1,1,2
19,28,67,,4,0,1,2
29,11,33,,2,0,1,2
30,17,32,,2,0,1,2
35,32,18,,5,3,1,2
37,60,65,,9,0,1,2
44,23,15,,3,1,1,2
45,36,26,,5,0,1,2
47,32,65,,5,0,2,2
50,70,5,,10,2,2,2
51,52,75,,7,0,2,2
63,15,50,,2,0,2,2
66,28,56,,4,1,2,2
72,20,33,,3,0,2,2
73,61,25,,9,1,1,2
91,48,56,,7,0,1,2
98,21,26,,3,1,1,2
102,35,1,,5,2,2,2
109,56,45,,8,0,2,2
131,15,18,,2,1,2,2
132,70,65,,10,0,1,2
143,17,5,,2,2,2,2
148,38,64,,5,0,2,1
152,17,75,,2,0,2,1
154,34,65,,5,0,2,1
168,22,45,,3,2,2,2
172,40,45,,6,2,2,2
175,16,75,,2,1,1,1
176,13,25,,2,0,1,1
177,29,75,,4,2,1,1
182,21,35,,3,1,2,2
205,27,1,,4,2,2,2
206,18,57,,3,0,2,2
217,40,25,,6,2,2,2
222,26,96,,4,0,2,1
223,25,100,,4,0,2,1
224,45,49,,6,0,2,1
239,12,52,,2,0,2,2
240,48,3,,7,7,2,2
244,26,67,,4,0,1,2
261,36,65,,5,1,1,1
283,25,65,,4,0,1,1
284,13,50,,2,1,2,1
286,36,82,,5,2,2,1
288,18,25,,3,0,2,2
289,21,35,,3,0,1,2
294,26,65,,4,0,2,2
320,23,58,,3,0,2,2
344,19,24,,3,0,2,2
345,30,65,,4,1,2,2
350,16,56,,2,0,2,2
370,14,1,,2,0,2,2
374,14,75,,2,1,1,2
376,61,58,,9,3,1,2
394,44,61,,6,0,1,2
395,50,25,,7,0,2,2
402,59,68,,8,2,2,1
403,65,65,,9,0,2,1
404,50,67,,7,3,2,1
405,65,25,,9,0,2,1
406,40,65,,6,0,2,1
407,61,65,,9,0,2,1
409,44,56,,6,0,2,2
414,51,87,,7,1,1,1
418,44,87,,6,2,1,1
419,53,55,,8,0,1,1
430,60,45,,9,2,2,2
432,65,67,,9,0,2,2
437,42,5,,6,2,2,2
447,66,67,,9,2,1,2
459,14,62,,2,0,2,1
462,14,56,,2,0,2,1
464,36,100,,5,,2,1
466,17,55,,2,0,2,1
467,18,67,,3,1,2,1
468,48,82,,7,2,2,1
471,17,50,,2,0,1,2
472,19,54,,3,1,1,2
476,25,54,,4,0,1,2
477,33,49,,5,0,2,1
484,38,65,,5,0,2,1
486,12,82,,2,1,2,1
487,21,45,,3,0,2,1
491,18,65,,3,0,2,2
492,51,65,,7,0,2,2
495,39,96,,6,0,2,1
497,33,64,,5,0,2,2
498,17,86,,2,2,1,1
499,37,87,,5,0,1,1
507,35,65,,5,0,1,1
537,23,52,,3,0,2,2
538,17,50,,2,0,2,2
544,30,24,,4,0,2,2
564,45,65,,6,2,1,1
565,69,87,,10,0,2,1
566,43,65,,6,0,2,1
567,30,45,,4,2,2,1
568,21,65,,3,0,2,1
569,19,86,,3,0,2,1
570,53,75,,8,2,2,1
571,17,65,,2,0,1,1
572,34,24,,5,0,1,2
573,47,1,,7,0,1,2
574,37,55,,5,0,2,1
575,40,55,,6,0,2,1
576,38,99,,5,0,2,1
577,31,88,,4,0,2,1
